Show Name,Running Time,Opened,Theatre Name,Theatre Address
& Juliet,2 hours and 30 minutes,17-Nov-22,Stephen Sondheim Theatre,"124 W 43rd St, New York, NY 100136"
Aladdin,2 hours and 30 minutes,20-Mar-14,New Amsterdam Theatre,"214 W 42nd St, New York, NY 10036"
A Beautiful Noise,2 hours and 15 minutes,4-Dec-22,Broadhurst Theatre,"235 W 44th St, New York, NY 10036"
The Book of Mormon,2 hours and 30 minutes,24-Mar-11,Eugene O'Neill Theatre,"230 W 49th St, New York, NY 10019"
Camelot,"3 hours, including intermission",13-Apr-23,Vivian Beaumont Theatre,"150 W 65th St, New York, NY 10023"
Chicago,2 hours and 30 minutes,14-Nov-96,Ambassador Theatre,"219 W 49th St, New York, NY 10019"
Fat Ham,"1 hour and 35 minutes, no intermission",12-Apr-23,American Airlines Theatre,"227 W 42nd St, New York, NY 10036"
Funny Girl,"2 hours and 50 minutes, including intermission",24-Apr-22,August Wilson Theatre,"245 W 52nd St, New York, NY 10019"
"Good Night, Oscar","1 hour and 40 minutes, no intermission",24-Apr-23,Belasco Theatre,"111 W 44th St, New York, NY 10036"
Grey House,"1 hour and 40 minutes, no intermission",30-May-23,Lyceum Theatre,"149 W 45th St, New York, NY 1003"
Hadestown,"2 hours and 25 minutes, including intermission",17-Apr-19,Walter Kerr Theatre,"219 W 48th St, New York, NY 10036"
Hamilton,"2 hours and 55 minutes, including intermission",6-Aug-15,Richard Rodgers Theatre,"226 W 46th St, New York, NY 10036"
Harry Potter and the Cursed Child,"3 hours and 30 minutes, including intermission",7-Dec-21,Lyric Theatre,"213 W 42nd St, New York, NY 10036"
Here Lies Love,"1 hour and 30 minutes, no intermission",20-Jul-23,Broadway Theatre,"1681 Broadway (at W. 53rd St.), New York, NY 10019"
Kimberly Akimbo,"2 hours and 20 minutes, including intermission",10-Nov-22,Booth Theatre,"222 W 45th St, New York, NY 10036"
Leopoldstadt,"2 hours and 10 minutes, no intermission",2-Oct-22,Longacre Theatre,"220 W 48th St, New York, NY 10036"
Life of Pi,"2 hours and 10 minutes, including intermission",30-Mar-22,Schoenfeld Theatre,"236 W 45th St, New York, NY 10036"
The Lion King,"2 hours and 30 minutes, including intermission",13-Nov-97,Minskoff Theatre,"200 W 45th St, New York, NY 10036"
MJ,"2 hours and 30 minutes, including intermission",1-Feb,Neil Simon Theatre,"250 W 52nd St, New York, NY 10019"
Moulin Rouge!,"2 hours and 45 minutes, including intermission",25-Jul-19,Al Hirschfeld Theatre,"302 W 45th St, New York, NY 10036"
"New York, New York","2 hours and 35 minutes, including intermission",26-Apr-23,St. James Theatre,"246 W 44th St, New York, NY 10036"
Once Upon a One More Time,"2 hours and 30 minutes, including intermission",22-Jun-23,Marquis Theatre,"1535 Broadway (between 45th and 46th Streets), New York, NY 10036"
Parade,"2 hours and 30 minutes, including intermission",16-Mar-23,Bernard B. Jacobs Theatre,"242 W 45th St, New York, NY 10036"
Peter Pan Goes Wrong,"2 hours and 5 minutes, including intermission",19-Apr-23,Ethel Barrymore Theatre,"243 W 47th St, New York, NY 10036"
Prima Facie,"1 hour and 40 minutes, no intermission",23-Apr-23,John Golden Theatre,"252 W 45th St, New York, NY 10036"
Shucked,"2 hours and 15 minutes, including intermission",4-Apr-23,Nederlander Theatre,"208 W 41st St, New York, NY 10036"
The Sign in Sidney Brustein's Window,"2 hours and 45 minutes, including intermission",27-Apr-23,James Earl Jones Theatre,"138 W 48th St, New York, NY 10036"
Six,"1 hour and 20 minutes minutes, no intermission",3-Oct-21,Lena Horne Theatre,"256 W 47th St, New York, NY 10036"
Some Like It Hot,"2 hours and 30 minutes, including intermission",11-Dec-23,Shubert Theatre,"225 W 44th St, New York, NY 10036"
Sweeney Todd,"2 hours and 30 minutes, including intermission",26-Mar-23,Lunt-Fontanne Theatre,"205 W 46th St, New York, NY 10036"
Wicked,"2 hours and 30 minutes, including intermission",30-Oct-03,Gershwin Theatre,"222 W 51st St, New York, NY 10019"
